text,clean,star,vader_compound,residual
NOT FAT MAN FRIENDLY!!! I was excited to hear they made this a permanent addition to the Fremont experience. They use to have it as a seasonal attraction and it was a lot smaller.  I'm giving it a 1 star because it's not FAT man friendly. I'm 6'5 and around 300lbs and I'm over the limit by 50lbs!!! I went Bungee jumping and you're telling me I can't do the ZIP-LINE??? Kinda gay but o well...I guess if I really wanted to go I could just lose the weight but come on...lets be real!! I guess I'll just watch the skinny people have fun while I drink my football beer and wear my beads I got from the ugly mermaid girls.,not fat man friendly i was excited to hear they made this a permanent addition to the fremont experience they use to have it as a seasonal attraction and it was a lot smaller i m giving it a star because it s not fat man friendly i m and around lbs and i m over the limit by lbs i went bungee jumping and you re telling me i can t do the zip line kinda gay but o well i guess if i really wanted to go i could just lose the weight but come on lets be real i guess i ll just watch the skinny people have fun while i drink my football beer and wear my beads i got from the ugly mermaid girls,1,-0.6963,-0.5281756849883661
"Understaffed, disorganized.  It should not take a half hour to get a pizza.  Definitely not worth the lower price.",understaffed disorganized it should not take a half hour to get a pizza definitely not worth the lower price,1,0.1833,-1.5973427288747142
I was excited to try this place. Had the Calamari for an appetizer and was not impressed. It reminded me of fish sticks but calamari. Had a lot better! I had the high tide burger and it was a hamburger with king crab meat on top of the Pattie. The meat was cheap and very greasy. The bottom bun was soaked with the grease and the meat wasn't warm. I couldn't even eat half of the burger. I will not be coming back.,i was excited to try this place had the calamari for an appetizer and was not impressed it reminded me of fish sticks but calamari had a lot better i had the high tide burger and it was a hamburger with king crab meat on top of the pattie the meat was cheap and very greasy the bottom bun was soaked with the grease and the meat wasn t warm i couldn t even eat half of the burger i will not be coming back,1,0.6447,-2.1581813760429283
Gave this place a couple chances to redeem themselves and they couldn't do it.. We've been here 3 times and all 3 times we walk in there...wait 30 mins at our table and no one acknowledges us so we just leave....it's that bad,gave this place a couple chances to redeem themselves and they couldn t do it we ve been here times and all times we walk in there wait mins at our table and no one acknowledges us so we just leave it s that bad,1,-0.5994,-0.6459590939840314
Not worth it!!  We had the buffets of buffets pass. Gets you into quite a few different places for $50. We were told that there was a $10 up charge for this particular Buffett. When we got there we were charged $30 extra per person. What????  But we thought hey it's supposed to be awesome so let's do it.   It was very sub par. The Buffett at the Rio is larger and has more variety. This one is mostly Asian food and seafood. It also took the waiter 20 mins to take our drink order. I will not return and I will be talking to someone about the outrageous up charge.,not worth it we had the buffets of buffets pass gets you into quite a few different places for we were told that there was a up charge for this particular buffett when we got there we were charged extra per person what but we thought hey it s supposed to be awesome so let s do it it was very sub par the buffett at the rio is larger and has more variety this one is mostly asian food and seafood it also took the waiter mins to take our drink order i will not return and i will be talking to someone about the outrageous up charge,1,0.5363,-2.0264195438950425
"The store was not clean today, dirty tables..I will admit it was fast service msybe 5 minutes",the store was not clean today dirty tables i will admit it was fast service msybe minutes,1,0.2378,-1.6635882994656717
Wish I could give 0 stars. This is the slowest chipotle I've ever been to. Plus they skimp on everything. Avoid at all cost.,wish i could give stars this is the slowest chipotle i ve ever been to plus they skimp on everything avoid at all cost,1,0.128,-1.5301247462383851
"I've bought furniture at this particular location with my partner in the past and our experience overall was really nice. This time with the Salesman Robin and this particular RoomStore location, things went downhill after the sale was made. The communication with this store was awful! Robin gave us his cell phone number so we could call him directly but didn't answer and his voicemail was full. Texting was also futile. Please be aware of the 5 day rule at all locations!! You have 5 days from the time your furniture is delivered and if you notice something on day 5 like we did you will get a store credit not your money back. Because we bought so much they gave us free furniture that they took of the bill first? I don't like writing negative reviews on companies, I just don't want someone to be caught up in the BS that Robin and the girls at the front desk will do. If we called them to ask about something like our dining room table (that came in pieces and then when it wouldn't fit together they went back to the 5 day rule of when they brought 2 chairs and the base but nothing else for 2 months) they wouldn't call back and we would call again. When we talked with them they they were always calling us! When we called to ask we would get the run around until we spoke to the manager and Corporate. They took things much more seriously. Robin told my partner that he doesn't get paid till we receive our full order, like that should help us feel better. We have to use the store credit so hopefully the Scottsdale store has better customer service.",i ve bought furniture at this particular location with my partner in the past and our experience overall was really nice this time with the salesman robin and this particular roomstore location things went downhill after the sale was made the communication with this store was awful robin gave us his cell phone number so we could call him directly but didn t answer and his voicemail was full texting was also futile please be aware of the day rule at all locations you have days from the time your furniture is delivered and if you notice something on day like we did you will get a store credit not your money back because we bought so much they gave us free furniture that they took of the bill first i don t like writing negative reviews on companies i just don t want someone to be caught up in the bs that robin and the girls at the front desk will do if we called them to ask about something like our dining room table that came in pieces and then when it wouldn t fit together they went back to the day rule of when they brought chairs and the base but nothing else for months they wouldn t call back and we would call again when we talked with them they they were always calling us when we called to ask we would get the run around until we spoke to the manager and corporate they took things much more seriously robin told my partner that he doesn t get paid till we receive our full order like that should help us feel better we have to use the store credit so hopefully the scottsdale store has better customer service,1,0.9913,-2.579478894700282
I would stay as far away from this place as possible...caught the employees dumpster diving behind the building for plastic bottles to take and get $ to recycle.  I would seriously question the cleanliness of this establishment...eat at your own risk!  I will NEVER eat there after witnessing that!,i would stay as far away from this place as possible caught the employees dumpster diving behind the building for plastic bottles to take and get to recycle i would seriously question the cleanliness of this establishment eat at your own risk i will never eat there after witnessing that,1,-0.5696,-0.6821814426741328
"I had lunch here on 09/22/2011. The waiter immediately stated they only had a limited menu as their vendor did not come through with their food supply. I ordered the fish and chips which was terrible. The fish was very small, sparse and was extremely greasey. The chips were soggy and had way too much salt.  I did not complain, but the waiter apologized for the order and said he could not do anything to correct the order. He stated they have a new staff in the kitchen.  On my way out the female manager asked if I enjoyed my lunch. I informed her of my disappointing fish and chips and she just shrugged her shoulders.  This place is just like the previous place. The food and service suck.",i had lunch here on the waiter immediately stated they only had a limited menu as their vendor did not come through with their food supply i ordered the fish and chips which was terrible the fish was very small sparse and was extremely greasey the chips were soggy and had way too much salt i did not complain but the waiter apologized for the order and said he could not do anything to correct the order he stated they have a new staff in the kitchen on my way out the female manager asked if i enjoyed my lunch i informed her of my disappointing fish and chips and she just shrugged her shoulders this place is just like the previous place the food and service suck,1,0.1419,-1.5470204055267214
"Saw the this place as me and the wife were passing by on Jones so we decided to try it out later for dinner.      We arrived around 7pm and thought the place was closed as there were no one inside and no one to greet us at the door. The host/waiter was sitting at a table on the opposite side of the Place watching Movies on his tablet and had to be instructed by (I guess) his manager.      We were seated in the center if the place with the whole restaurant to ourselves and alot of empty tables. When I saw the menu I almost laughed out loud. The menu was OVER-priced! 2 times or more than any other PHO places I've been to locally here in Vegas.     My wife ordered #24 and I ordered the oxtail soup. They were about average in taste but not worth the $11 and $14 price tags. And for that much I expected a bigger serving. Compared to the closer Pho places, Pho 87 really fell short.      Um yeah I lowered my expectations and shook my head at the same time. When were they on the food network?  Did they raise their prices after their appearance?  LOL if they did then that was the wrong move because I think that's the reason the restaurant was practically abandoned looking. This was our first and I do believe our last time coming to this place. There are more PHO restaurants way better locally here in Vegas.  I think Robert Irvin from \""The Food Network\"" needs to revisit this place and make anothe Restaurant Impossible episode out of it. Just Saying.",saw the this place as me and the wife were passing by on jones so we decided to try it out later for dinner we arrived around pm and thought the place was closed as there were no one inside and no one to greet us at the door the host waiter was sitting at a table on the opposite side of the place watching movies on his tablet and had to be instructed by i guess his manager we were seated in the center if the place with the whole restaurant to ourselves and alot of empty tables when i saw the menu i almost laughed out loud the menu was over priced times or more than any other pho places i ve been to locally here in vegas my wife ordered and i ordered the oxtail soup they were about average in taste but not worth the and price tags and for that much i expected a bigger serving compared to the closer pho places pho really fell short um yeah i lowered my expectations and shook my head at the same time when were they on the food network did they raise their prices after their appearance lol if they did then that was the wrong move because i think that s the reason the restaurant was practically abandoned looking this was our first and i do believe our last time coming to this place there are more pho restaurants way better locally here in vegas i think robert irvin from the food network needs to revisit this place and make anothe restaurant impossible episode out of it just saying,1,-0.2018,-1.1292478805338404
