ds,y,TRUE_TREND,TRUE_SEASONALITY
2021-01-04,4824.0,5000.0,-300.0
2021-01-11,4792.0,5004.0,-177.62752121871085
2021-01-18,5115.0,5008.0,-54.74851224652727
2021-01-25,5458.0,5012.0,64.88259106805594
2021-02-01,5135.0,5016.0,177.79386870902937
2021-02-08,5242.0,5020.0,280.9469368076795
2021-02-15,5791.0,5024.0,371.8621453127576
2021-02-22,5669.0,5028.0,448.7114262500329
2021-03-01,5425.0,5032.0,510.3741440539301
2021-03-08,5728.0,5036.0,556.4534369575266
2021-03-15,5511.0,5040.0,587.2528111466473
2021-03-22,5531.0,5044.0,603.7150255781175
2021-03-29,5716.0,5048.0,607.3274532397471
2021-04-05,5174.0,5052.0,599.9999999999999
2021-04-12,5209.0,5056.0,583.9231956779179
2021-04-19,5481.0,5060.0,561.415155333145
2021-04-26,5346.0,5064.0,534.7666800758506
2021-05-03,5653.0,5068.0,506.0937938263253
2021-05-10,5322.0,5072.0,477.20649501845764
2021-05-17,5172.0,5076.0,449.5014715552885
2021-05-24,5870.0,5080.0,423.8850445761967
2021-05-31,5428.0,5084.0,400.7307592697074
2021-06-07,5485.0,5088.0,379.8739377434929
2021-06-14,5096.0,5092.0,360.64327338298676
2021-06-21,5302.0,5096.0,341.9273093915965
2021-06-28,5450.0,5100.0,322.2715375250985
2021-07-05,5116.0,5104.0,299.99999999999994
2021-07-12,5475.0,5108.0,273.353786933734
2021-07-19,5202.0,5112.0,240.63778106403478
2021-07-26,5243.0,5116.0,200.36647222826213
2021-08-02,5121.0,5120.0,151.3996776484334
2021-08-09,5680.0,5124.0,93.05956026648653
2021-08-16,5150.0,5128.0,25.22140432646418
2021-08-23,4816.0,5132.0,-51.627876610811285
2021-08-30,5205.0,5136.0,-136.36764697976406
2021-09-06,4608.0,5140.0,-227.25989060006358
2021-09-13,4874.0,5144.0,-322.0037478503289
2021-09-20,4240.0,5148.0,-417.8257567606102
2021-09-27,4308.0,5152.0,-511.60118752472357
2021-10-04,4605.0,5156.0,-599.9999999999999
2021-10-11,4665.0,5160.0,-679.649461392941
2021-10-18,4460.0,5164.0,-747.3044241506522
2021-10-25,4339.0,5168.0,-800.0157433721687
2021-11-01,4261.0,5172.0,-835.2873401837877
2021-11-08,3955.0,5176.0,-851.2129920926235
2021-11-15,4153.0,5180.0,-846.5850211945101
2021-11-22,4248.0,5184.0,-820.9685942154184
2021-11-29,6478.0,5188.0,1025.2627436561265
2021-12-06,4569.0,5192.0,-709.0674841009552
2021-12-13,4129.0,5196.0,-625.8923366793051
2021-12-20,4753.0,5200.0,-527.816578209104
2021-12-27,7190.0,5204.0,2082.0021967598777
2022-01-03,4739.0,5208.0,-299.9999999999994
2022-01-10,5187.0,5212.0,-177.62752121871074
2022-01-17,5419.0,5216.0,-54.748512246527696
2022-01-24,5518.0,5220.0,64.88259106805583
2022-01-31,5192.0,5224.0,177.79386870902886
2022-02-07,5432.0,5228.0,280.9469368076792
2022-02-14,5687.0,5232.0,371.8621453127576
2022-02-21,5929.0,5236.0,448.71142625003256
2022-02-28,5631.0,5240.0,510.3741440539295
2022-03-07,5754.0,5244.0,556.4534369575267
2022-03-14,5559.0,5248.0,587.2528111466472
2022-03-21,5557.0,5252.0,603.7150255781175
2022-03-28,6066.0,5256.0,607.327453239747
2022-04-04,6199.0,5260.0,600.0
2022-04-11,5830.0,5264.0,583.9231956779178
2022-04-18,6080.0,5268.0,561.4151553331448
2022-04-25,5897.0,5272.0,534.7666800758506
2022-05-02,5621.0,5276.0,506.09379382632534
2022-05-09,5848.0,5280.0,477.20649501845793
2022-05-16,6118.0,5284.0,449.5014715552885
2022-05-23,5703.0,5288.0,423.8850445761967
2022-05-30,6084.0,5292.0,400.7307592697077
