tenure,monthly_charges,contract_type,support_calls,data_usage_gb,senior_citizen,TRUE_PROB,churn
38,62.68,Month-to-Month,3,18.3,0,0.3345,0
27,67.48,Month-to-Month,1,1.97,0,0.4617,0
26,102.94,Month-to-Month,2,4.44,0,0.7994,1
26,57.21,Month-to-Month,0,28.58,0,0.2535,0
61,78.74,Month-to-Month,3,14.02,0,0.1898,0
43,88.73,One Year,2,0.91,0,0.2588,1
23,27.17,One Year,2,5.68,0,0.1113,0
38,52.23,Two Year,3,10.48,0,0.0842,0
33,86.22,One Year,1,9.59,0,0.2793,1
9,51.01,One Year,2,11.45,0,0.3803,1
16,73.29,One Year,0,4.89,0,0.3608,0
34,49.83,Month-to-Month,3,1.55,0,0.3331,1
58,56.09,One Year,2,5.0,0,0.0402,0
26,53.65,Month-to-Month,2,8.35,0,0.3994,0
22,77.73,Two Year,0,7.5,0,0.2319,1
31,69.03,One Year,2,0.59,0,0.2618,0
21,66.98,Month-to-Month,2,0.54,0,0.616,0
25,115.15,One Year,1,26.88,1,0.6438,1
29,99.79,Month-to-Month,1,1.32,0,0.7059,1
16,25.38,Month-to-Month,1,2.79,1,0.3408,0
44,56.13,Month-to-Month,1,11.68,0,0.1558,0
14,113.53,One Year,0,4.22,0,0.7253,1
13,53.51,One Year,3,1.6,0,0.4302,1
32,106.75,Two Year,1,5.04,0,0.369,1
42,56.47,Month-to-Month,2,6.73,0,0.222,0
32,60.32,Month-to-Month,1,4.82,0,0.3244,0
28,82.27,One Year,3,20.1,0,0.3994,0
25,63.2,Month-to-Month,5,2.68,1,0.7548,1
23,74.89,One Year,2,8.66,0,0.3874,1
49,96.5,Month-to-Month,1,0.95,0,0.3993,0
35,80.18,Month-to-Month,1,3.98,0,0.4555,1
24,67.83,Month-to-Month,1,10.81,0,0.4832,0
20,98.47,One Year,0,2.04,0,0.5319,1
40,82.53,Month-to-Month,0,7.13,0,0.3313,0
48,50.33,Month-to-Month,2,1.33,0,0.1485,0
46,104.6,Month-to-Month,1,0.87,0,0.509,0
18,77.85,Month-to-Month,2,5.93,0,0.7191,0
25,60.73,Month-to-Month,5,8.99,0,0.657,1
23,24.58,Month-to-Month,4,0.96,0,0.3522,0
27,37.45,One Year,0,19.99,0,0.0651,0
44,99.0,Month-to-Month,0,2.05,1,0.5042,1
55,99.79,One Year,2,1.02,0,0.1936,0
35,66.71,One Year,2,1.81,0,0.2,0
21,29.6,Month-to-Month,2,1.49,0,0.3063,0
29,43.26,Month-to-Month,1,0.76,0,0.2545,0
60,32.52,Two Year,1,12.79,0,0.0072,0
31,31.8,Month-to-Month,2,5.47,0,0.1962,0
25,105.54,Month-to-Month,1,3.93,0,0.7834,1
26,106.2,Month-to-Month,4,24.07,0,0.8443,1
35,42.58,One Year,0,3.71,0,0.0598,0
19,64.83,One Year,3,1.46,0,0.4503,1
22,39.3,Two Year,6,2.56,0,0.2688,0
46,64.7,Two Year,4,2.18,0,0.1181,1
35,97.79,Month-to-Month,2,5.53,0,0.6592,1
31,86.57,Month-to-Month,2,2.76,0,0.6313,1
47,81.17,Month-to-Month,1,5.81,0,0.288,0
20,61.12,Month-to-Month,2,8.85,0,0.5538,0
25,90.24,Month-to-Month,2,12.02,0,0.7115,1
34,77.93,Month-to-Month,2,9.91,0,0.4832,1
34,73.08,Month-to-Month,2,1.84,0,0.4798,0
13,62.69,Month-to-Month,2,0.99,0,0.6955,1
23,71.37,Month-to-Month,0,6.25,1,0.5506,0
27,70.77,Two Year,1,1.77,0,0.1953,0
36,54.17,One Year,0,0.71,0,0.0868,0
33,49.5,Two Year,1,5.99,0,0.0682,0
28,45.06,Month-to-Month,2,3.17,0,0.318,0
9,46.34,Month-to-Month,1,11.29,0,0.5207,1
29,61.24,Month-to-Month,1,3.02,0,0.3804,0
30,57.95,Month-to-Month,2,30.8,0,0.2995,0
72,52.59,Month-to-Month,2,11.37,1,0.0497,0
26,51.1,Two Year,2,0.5,0,0.1409,0
34,70.84,Two Year,0,5.69,0,0.1036,0
51,92.55,Month-to-Month,1,6.62,0,0.3223,0
42,64.78,Month-to-Month,2,9.51,0,0.2649,1
56,63.47,Month-to-Month,3,5.51,1,0.214,0
13,46.3,Month-to-Month,1,5.28,1,0.5575,1
17,60.54,Month-to-Month,3,3.67,0,0.6718,1
21,88.81,Month-to-Month,2,2.53,0,0.7651,0
11,85.75,Month-to-Month,0,23.38,0,0.7038,0
30,84.36,Month-to-Month,2,3.06,0,0.6184,1
17,83.72,Month-to-Month,1,0.52,0,0.7368,1
60,73.73,Month-to-Month,2,1.46,0,0.1618,0
19,73.02,Month-to-Month,2,15.57,0,0.643,0
25,69.9,Two Year,0,7.07,0,0.1625,0
44,56.66,Month-to-Month,0,12.07,0,0.1283,0
14,66.67,Two Year,2,13.23,0,0.3277,0
11,69.31,Two Year,2,13.86,0,0.3919,1
32,77.66,Two Year,2,6.4,0,0.212,0
33,67.01,One Year,2,1.56,0,0.2196,0
43,107.1,One Year,4,1.28,0,0.5171,1
38,40.8,Two Year,1,6.83,0,0.0388,0
34,80.09,Month-to-Month,1,3.65,1,0.5377,0
20,64.18,Month-to-Month,1,6.53,0,0.523,0
33,65.04,Two Year,3,5.52,0,0.1767,0
34,48.75,One Year,0,7.37,0,0.0739,0
20,85.39,Two Year,2,0.5,0,0.45,1
68,78.06,One Year,0,0.5,0,0.0308,0
37,81.67,Two Year,1,10.23,1,0.1858,0
17,68.38,One Year,2,1.72,1,0.52,1
43,58.5,One Year,2,8.45,0,0.0957,0
47,63.67,Month-to-Month,4,6.33,1,0.3849,0
36,73.67,Two Year,2,32.05,0,0.1121,0
26,24.89,Two Year,1,14.43,0,0.0415,0
19,82.46,Two Year,3,4.26,0,0.4795,1
28,113.52,One Year,2,7.67,0,0.643,0
35,74.61,Month-to-Month,4,1.0,1,0.669,0
30,59.38,Month-to-Month,0,3.91,0,0.299,0
58,61.78,Two Year,1,10.59,1,0.032,0
40,79.15,One Year,4,7.8,0,0.3044,1
18,59.83,Month-to-Month,0,5.3,0,0.4578,1
16,82.37,Month-to-Month,1,1.55,0,0.7431,1
37,61.52,Two Year,1,13.0,0,0.0735,0
26,99.28,Two Year,3,2.55,0,0.531,1
42,98.73,Two Year,1,13.74,0,0.1822,0
37,58.4,One Year,1,7.57,0,0.1061,0
28,63.38,Month-to-Month,2,3.73,0,0.4672,1
18,64.55,Month-to-Month,3,0.5,0,0.6923,1
12,64.82,Month-to-Month,0,2.12,0,0.6069,1
33,46.05,Two Year,1,17.59,0,0.0538,1
14,43.25,Month-to-Month,3,13.63,0,0.5285,1
18,90.0,One Year,0,6.84,0,0.4753,1
32,86.8,Month-to-Month,1,5.02,0,0.5517,1
30,86.45,Month-to-Month,1,8.33,0,0.5589,0
15,63.61,Two Year,0,5.02,1,0.2782,0
49,102.84,Month-to-Month,1,8.27,1,0.4926,1
49,64.55,One Year,2,2.94,0,0.0926,0
38,82.26,Month-to-Month,3,14.59,0,0.5083,1
38,37.23,Month-to-Month,2,9.68,0,0.1521,0
38,60.41,Month-to-Month,3,3.2,1,0.4351,0
72,61.88,Month-to-Month,0,14.21,0,0.0303,0
47,63.69,One Year,2,5.35,0,0.0978,1
40,38.49,Month-to-Month,3,1.54,1,0.2396,0
19,79.08,Month-to-Month,0,0.65,1,0.6936,1
26,85.57,Month-to-Month,3,9.62,0,0.721,1
72,50.12,One Year,2,16.03,0,0.0123,0
9,42.05,Two Year,2,13.18,0,0.2198,0
23,49.62,Month-to-Month,5,8.53,0,0.5982,0
49,74.91,One Year,2,1.22,0,0.1258,0
20,53.07,One Year,1,0.79,0,0.2377,0
41,62.32,One Year,2,3.39,0,0.1289,0
30,43.53,Month-to-Month,6,15.44,1,0.5473,0
20,104.59,One Year,1,26.11,0,0.5529,0
8,66.46,One Year,2,2.21,0,0.5586,0
32,87.99,One Year,0,11.49,0,0.248,0
19,74.86,One Year,5,6.82,0,0.6365,1
28,64.16,Two Year,3,0.5,1,0.2956,1
38,63.13,Month-to-Month,5,6.26,0,0.4998,0
45,50.5,Two Year,2,13.12,0,0.0427,0
23,55.99,Month-to-Month,0,2.59,0,0.3687,1
20,44.84,One Year,0,18.21,0,0.1183,0
14,42.66,Month-to-Month,1,2.16,0,0.4437,1
46,106.73,Month-to-Month,1,0.64,1,0.6059,1
72,70.58,One Year,3,1.39,0,0.0391,1
48,94.31,One Year,1,14.51,0,0.163,1
53,49.12,Month-to-Month,2,4.32,0,0.1047,0
20,39.97,Month-to-Month,3,12.75,1,0.4928,0
37,45.44,Month-to-Month,1,6.06,0,0.175,0
43,56.56,Two Year,1,5.24,0,0.0511,0
2,65.73,Two Year,4,13.16,0,0.6124,1
16,61.98,Month-to-Month,2,4.41,1,0.6957,0
62,49.54,Two Year,2,12.96,1,0.0201,0
12,66.75,Two Year,2,0.85,0,0.3961,0
57,68.51,Month-to-Month,3,8.09,0,0.1797,0
12,79.05,One Year,1,9.7,0,0.5121,1
17,94.41,Month-to-Month,0,18.35,0,0.7162,0
37,57.72,One Year,0,2.03,0,0.0903,0
30,89.31,Month-to-Month,4,7.42,0,0.7483,1
24,66.32,Month-to-Month,2,4.54,0,0.5558,0
61,34.45,Month-to-Month,2,3.86,0,0.0427,0
14,100.67,Month-to-Month,1,0.9,0,0.8594,1
27,110.45,Two Year,2,1.15,0,0.5558,1
39,77.38,Month-to-Month,1,14.51,0,0.328,0
34,66.8,Month-to-Month,1,11.08,0,0.3297,1
21,59.57,Two Year,1,3.85,0,0.1869,0
21,55.72,Month-to-Month,1,14.1,0,0.4053,1
44,89.21,Month-to-Month,0,0.67,1,0.4135,1
45,64.65,Two Year,1,7.84,0,0.0558,0
34,98.48,Two Year,1,16.21,0,0.2489,1
18,65.7,Month-to-Month,2,14.6,0,0.5933,0
22,56.75,Month-to-Month,1,3.73,0,0.4469,0
29,52.97,Two Year,3,10.94,0,0.1417,0
31,50.13,Month-to-Month,2,4.46,0,0.3138,0
39,75.28,Month-to-Month,3,14.67,0,0.4385,0
26,39.11,Month-to-Month,2,6.05,0,0.2885,0
44,48.63,Month-to-Month,4,11.58,0,0.2307,0
44,91.49,One Year,0,0.65,0,0.1815,0
54,45.91,One Year,3,7.13,0,0.0438,0
30,82.25,Two Year,4,6.39,0,0.3784,1
35,23.74,One Year,2,7.53,0,0.0503,0
27,94.0,Month-to-Month,5,9.52,0,0.8395,0
18,39.6,Month-to-Month,2,20.02,0,0.3488,0
72,47.47,Two Year,1,12.32,1,0.0082,0
51,78.61,Month-to-Month,2,1.98,0,0.2825,0
43,70.41,Month-to-Month,3,13.98,0,0.3345,0
29,82.9,Two Year,0,1.04,0,0.2038,0
18,39.43,One Year,1,7.79,0,0.1647,0
47,59.26,Month-to-Month,1,17.15,0,0.1359,0
27,52.66,Two Year,1,0.85,0,0.1143,0
36,42.8,Two Year,2,15.16,0,0.0523,0
22,76.92,Month-to-Month,4,12.82,0,0.7519,1
33,83.86,Two Year,4,5.61,0,0.3444,0
22,58.26,Month-to-Month,3,2.96,0,0.5771,1
23,95.45,Month-to-Month,2,4.16,0,0.7887,1
33,49.29,Two Year,6,27.7,1,0.2022,1
12,94.97,Two Year,4,1.8,0,0.7428,0
13,76.24,Month-to-Month,0,6.93,0,0.6698,1
20,40.53,Month-to-Month,1,0.7,0,0.3496,0
26,104.63,Month-to-Month,1,1.97,0,0.7706,1
45,56.11,One Year,2,11.53,0,0.0786,0
27,89.1,Month-to-Month,1,2.88,0,0.6475,0
29,67.91,Month-to-Month,0,34.02,0,0.2736,1
25,72.49,Month-to-Month,0,5.56,0,0.4616,0
35,83.02,Month-to-Month,1,5.81,0,0.4738,0
18,81.92,Month-to-Month,1,0.5,0,0.7121,0
28,58.16,Two Year,0,25.08,1,0.0995,0
36,75.63,Month-to-Month,1,1.53,0,0.4058,1
33,74.13,Month-to-Month,2,6.18,0,0.4819,0
30,69.27,Two Year,2,4.03,0,0.1966,0
30,60.93,One Year,2,4.3,0,0.2151,0
38,69.23,Month-to-Month,0,8.25,0,0.2575,0
72,104.35,Month-to-Month,2,8.68,0,0.1981,0
19,59.1,One Year,2,1.34,0,0.3371,0
72,89.13,Month-to-Month,2,5.54,0,0.132,0
19,52.61,One Year,1,12.5,0,0.2153,0
7,47.37,Month-to-Month,2,4.69,0,0.6335,1
22,120.0,Month-to-Month,3,1.45,0,0.9247,1
35,75.8,Month-to-Month,1,3.01,0,0.417,0
68,76.35,One Year,2,1.91,1,0.0603,0
18,76.9,Two Year,0,1.08,1,0.3587,1
38,93.15,Month-to-Month,3,3.79,0,0.6459,0
13,73.16,Month-to-Month,1,6.23,0,0.6927,1
67,81.32,Month-to-Month,4,0.6,0,0.2142,0
51,43.83,Month-to-Month,2,7.41,0,0.0946,0
23,84.68,Two Year,2,39.72,0,0.2699,1
10,60.26,Month-to-Month,1,26.62,0,0.5626,1
55,78.43,Two Year,1,14.14,0,0.0458,0
28,30.7,One Year,2,2.48,0,0.0998,0
