text,clean,star,vader_compound,token_count,log_token_count,resid_m1,star_bin_1,star_bin_5
was working till update was gonna buy full version lucky me dont work any longer,was working till update was gonna buy full version lucky me dont work any longer,1,0.4215,11,2.4849066497880004,-2.389070537650223,1,0
When I open the game on it it says ppsspp has stopped working and it stops.,when i open the game on it it says ppsspp has stopped working and it stops,1,-0.3612,7,2.0794415416798357,-1.1318332149953054,1,0
Mission Just,mission just,1,0.0,1,0.6931471805599453,-1.7120224585662216,1,0
After few hours of installing when i again opened it . It is only showing connecting and connecting,after few hours of installing when i again opened it it is only showing connecting and connecting,1,0.0,6,1.9459101490553132,-1.7120224585662216,1,0
Don't have every song,don t have every song,1,0.0,2,1.0986122886681098,-1.7120224585662216,1,0
Taking too long n require constant updates,taking too long n require constant updates,1,0.0,5,1.791759469228055,-1.7120224585662216,1,0
Very biased news feed Bought and paid for by the Crooked Clinton campaign,very biased news feed bought and paid for by the crooked clinton campaign,1,-0.3384,8,2.1972245773362196,-1.1684564562838347,1,0
Useless The advertisements blocked the editor,useless the advertisements blocked the editor,1,-0.5994,4,1.6094379124341003,-0.7492167204809301,1,0
Buffer issues Rarely allows streaming news service. Worthless.,buffer issues rarely allows streaming news service worthless,1,-0.4404,8,2.1972245773362196,-1.0046156399930446,1,0
Very poooor Not a nice app,very poooor not a nice app,1,-0.3809,3,1.3862943611198906,-1.1001894494960056,1,0
Wow Honestly guys  if I can barely play pokemon or Kingdom Hearts with no volume and really slow frame rate  I might as well buy Drastic DS Emulator ????,wow honestly guys if i can barely play pokemon or kingdom hearts with no volume and really slow frame rate i might as well buy drastic ds emulator,1,0.8679,18,2.9444389791664403,-3.1061150512993283,1,0
I need google play revise,i need google play revise,1,0.34,4,1.6094379124341003,-2.258158512868856,1,0
It has many grafical problems in the zte meo smart p80,it has many grafical problems in the zte meo smart p,1,0.0,6,1.9459101490553132,-1.7120224585662216,1,0
Worstest App ever Have to update it hundred times,worstest app ever have to update it hundred times,1,0.0,6,1.9459101490553132,-1.7120224585662216,1,0
Loser This app is not help,loser this app is not help,1,-0.6866,3,1.3862943611198906,-0.609148885377431,1,0
When you update it keep on loading but nothing happens after that.,when you update it keep on loading but nothing happens after that,1,0.0,5,1.791759469228055,-1.7120224585662216,1,0
Lost backup!! I completely lost 8500 txt messages  can't be recovered! Thank you for nothing! Sh*t app!,lost backup i completely lost txt messages can t be recovered thank you for nothing sh t app,1,-0.8004,10,2.3978952727983707,-0.4263539354373138,1,0
New scrolling and selection is very buggy,new scrolling and selection is very buggy,1,0.0,4,1.6094379124341003,-1.7120224585662216,1,0
Copy to other phones Please add option to copy to other phones,copy to other phones please add option to copy to other phones,1,0.3182,7,2.0794415416798357,-2.2231415540929813,1,0
Opened one time and then won't anymore,opened one time and then won t anymore,1,0.0,4,1.6094379124341003,-1.7120224585662216,1,0
Forced updated sucks,forced updated sucks,1,-0.6705,3,1.3862943611198906,-0.6350100338311733,1,0
Plz I dont know hw to root my device,plz i dont know hw to root my device,1,0.0772,5,1.791759469228055,-1.8360274685431728,1,0
Not rejisterd,not rejisterd,1,0.0,1,0.6931471805599453,-1.7120224585662216,1,0
Bad services ! Bad ! I've waited to many hour for updating this services !,bad services bad i ve waited to many hour for updating this services,1,-0.8349,8,2.1972245773362196,-0.3709371887507231,1,0
Je voulais faire 0 étoile non mais je fais la mise a jour car c obligatoire pour certaines apps mais a mon avis je ne l'installe pas,je voulais faire toile non mais je fais la mise a jour car c obligatoire pour certaines apps mais a mon avis je ne l installe pas,1,0.0,18,2.9444389791664403,-1.7120224585662216,1,0
1 star A single star,star a single star,1,0.0,3,1.3862943611198906,-1.7120224585662216,1,0
Invalid SSL certificate Why is this? It only happens on this app. I am trying to sign in through my self-hosted sites. I must go through the browser  which renders the app useless.,invalid ssl certificate why is this it only happens on this app i am trying to sign in through my self hosted sites i must go through the browser which renders the app useless,1,-0.4215,15,2.772588722239781,-1.0349743794822204,1,0
Misrepresented. Runs on their servers only? It doesn't ask for network permission  but won't add 1+1 if network is disabled. Apparently does not run locally. As near as I can tell  you can't back your files up locally either unless you cut and paste. Crashes *any* time plot is called  etc. Last crash lost a couple hours of work and all the examples.,misrepresented runs on their servers only it doesn t ask for network permission but won t add if network is disabled apparently does not run locally as near as i can tell you can t back your files up locally either unless you cut and paste crashes any time plot is called etc last crash lost a couple hours of work and all the examples,1,-0.8462,33,3.5263605246161616,-0.3527861963577237,1,0
"It crash. Every time I click the file it always says """"""""""""""""""""""""""""""""unfortunately nds4droid has stopped"""""""""""""""""""""""""""""""" please fix this..""""",it crash every time i click the file it always says unfortunately nds droid has stopped please fix this,1,-0.1027,13,2.6390573296152584,-1.547057244516573,1,0
Not able to save work... Couldn't find in gallery. Otherwise it was easy and fun.. But no use in the end if not able to save.,not able to save work couldn t find in gallery otherwise it was easy and fun but no use in the end if not able to save,1,-0.7274,12,2.5649493574615367,-0.5436125588611147,1,0
So annoying I will keep updating and updating and yet it won't install It's useless,so annoying i will keep updating and updating and yet it won t install it s useless,1,-0.1682,7,2.0794415416798357,-1.441845739937683,1,0
Not able to install on my MI Max getting error,not able to install on my mi max getting error,1,-0.4019,5,1.791759469228055,-1.0664575167302548,1,0
Very poor Trash. Very dull of an app,very poor trash very dull of an app,1,-0.7496,4,1.6094379124341003,-0.5079530870801781,1,0
Intollerable Buffering Cozing Low Battery!!! I'm trying to Download GOOGLE PLAY App since last 1(one) Month into my MICROMAX A-28 BOLT ANDROID Handset. But till date  its Bufferring since a Huse Time grabbing my Phone's Battery & also Data Balance!!! Yet Neither its Downloading itself  Nor leting Download any Video/Mp3 Songs I wish to Download. So I Never found such a THIRD-CLASS & FAKE App till today!!! :-(,intollerable buffering cozing low battery i m trying to download google play app since last one month into my micromax a bolt android handset but till date its bufferring since a huse time grabbing my phone s battery also data balance yet neither its downloading itself nor leting download any video mp songs i wish to download so i never found such a third class fake app till today,1,-0.765,47,3.871201010907891,-0.48321633638529393,1,0
It stopped working,it stopped working,1,-0.2263,2,1.0986122886681098,-1.3485207259524388,1,0
