restaurant_id,state,treated,period,post,employment,treated_x_post,period_label
0,NJ,1,0,0,23.390799628431452,0,Before
1,NJ,1,0,0,21.612859956720683,0,Before
2,NJ,1,0,0,23.813527906681937,0,Before
3,NJ,1,0,0,26.264483597942473,0,Before
4,NJ,1,0,0,21.34437055077466,0,Before
5,NJ,1,0,0,21.344416520542296,0,Before
6,NJ,1,0,0,26.421795883420696,0,Before
7,NJ,1,0,0,24.148817241628144,0,Before
8,NJ,1,0,0,20.685471719382136,0,Before
9,NJ,1,0,0,23.5191681220407,0,Before
10,NJ,1,0,0,20.702430460125107,0,Before
11,NJ,1,0,0,20.695956690003282,0,Before
12,NJ,1,0,0,22.677494360384895,0,Before
13,NJ,1,0,0,16.642815314958167,0,Before
14,NJ,1,0,0,17.17023006896351,0,Before
15,NJ,1,0,0,20.425594918125277,0,Before
16,NJ,1,0,0,19.164072863063613,0,Before
17,NJ,1,0,0,22.879892531266766,0,Before
18,NJ,1,0,0,19.45753258854061,0,Before
19,NJ,1,0,0,18.045549636261185,0,Before
20,NJ,1,0,0,26.10381655298035,0,Before
21,NJ,1,0,0,21.3678263586377,0,Before
22,NJ,1,0,0,22.189078973126186,0,Before
23,NJ,1,0,0,18.01070507860232,0,Before
24,NJ,1,0,0,20.475728371329488,0,Before
25,NJ,1,0,0,22.310583251187627,0,Before
26,NJ,1,0,0,18.777217983217554,0,Before
27,NJ,1,0,0,23.05195445136788,0,Before
28,NJ,1,0,0,20.318211668227345,0,Before
29,NJ,1,0,0,21.183257500578826,0,Before
30,NJ,1,0,0,20.31522148575769,0,Before
31,NJ,1,0,0,27.186378916625024,0,Before
32,NJ,1,0,0,21.962207770733784,0,Before
33,NJ,1,0,0,19.03840939892348,0,Before
34,NJ,1,0,0,24.303125753888928,0,Before
35,NJ,1,0,0,18.581637780081138,0,Before
36,NJ,1,0,0,22.584818066013316,0,Before
37,NJ,1,0,0,16.512923653136628,0,Before
38,NJ,1,0,0,18.281079063084395,0,Before
39,NJ,1,0,0,22.551211460433546,0,Before
40,NJ,1,0,0,24.06770642398715,0,Before
41,NJ,1,0,0,22.479831187331918,0,Before
42,NJ,1,0,0,21.676184809312925,0,Before
