state_id,year,expansion,post,year_rel,uninsured_rate,group_label,treated_x_post
0,2012,1,0,-2,16.841,Expansion,0
0,2013,1,0,-1,13.012,Expansion,0
0,2014,1,1,0,9.868,Expansion,1
0,2015,1,1,1,7.286,Expansion,1
1,2012,1,0,-2,15.344,Expansion,0
1,2013,1,0,-1,13.729,Expansion,0
1,2014,1,1,0,8.202,Expansion,1
1,2015,1,1,1,4.696,Expansion,1
2,2012,1,0,-2,15.172,Expansion,0
2,2013,1,0,-1,12.678,Expansion,0
2,2014,1,1,0,8.797,Expansion,1
2,2015,1,1,1,7.774,Expansion,1
3,2012,1,0,-2,14.268,Expansion,0
3,2013,1,0,-1,10.812,Expansion,0
3,2014,1,1,0,6.507,Expansion,1
3,2015,1,1,1,7.018,Expansion,1
4,2012,1,0,-2,14.156,Expansion,0
4,2013,1,0,-1,11.115,Expansion,0
4,2014,1,1,0,7.517,Expansion,1
4,2015,1,1,1,6.493,Expansion,1
5,2012,1,0,-2,13.104,Expansion,0
5,2013,1,0,-1,12.33,Expansion,0
5,2014,1,1,0,8.13,Expansion,1
5,2015,1,1,1,8.295,Expansion,1
6,2012,1,0,-2,14.047,Expansion,0
6,2013,1,0,-1,14.932,Expansion,0
6,2014,1,1,0,8.354,Expansion,1
6,2015,1,1,1,7.663,Expansion,1
7,2012,1,0,-2,12.845,Expansion,0
7,2013,1,0,-1,12.897,Expansion,0
7,2014,1,1,0,6.222,Expansion,1
7,2015,1,1,1,9.024,Expansion,1
8,2012,1,0,-2,15.396,Expansion,0
8,2013,1,0,-1,16.446,Expansion,0
8,2014,1,1,0,8.584,Expansion,1
8,2015,1,1,1,7.7,Expansion,1
9,2012,1,0,-2,14.018,Expansion,0
9,2013,1,0,-1,12.701,Expansion,0
9,2014,1,1,0,10.201,Expansion,1
9,2015,1,1,1,6.928,Expansion,1
10,2012,1,0,-2,14.105,Expansion,0
10,2013,1,0,-1,13.0,Expansion,0
10,2014,1,1,0,9.025,Expansion,1
10,2015,1,1,1,7.222,Expansion,1
11,2012,1,0,-2,14.633,Expansion,0
11,2013,1,0,-1,15.172,Expansion,0
11,2014,1,1,0,8.306,Expansion,1
11,2015,1,1,1,7.194,Expansion,1
12,2012,1,0,-2,13.859,Expansion,0
12,2013,1,0,-1,10.794,Expansion,0
12,2014,1,1,0,8.803,Expansion,1
12,2015,1,1,1,7.099,Expansion,1
13,2012,1,0,-2,14.415,Expansion,0
13,2013,1,0,-1,15.596,Expansion,0
13,2014,1,1,0,9.187,Expansion,1
13,2015,1,1,1,8.026,Expansion,1
14,2012,1,0,-2,13.334,Expansion,0
14,2013,1,0,-1,9.859,Expansion,0
14,2014,1,1,0,8.732,Expansion,1
14,2015,1,1,1,8.094,Expansion,1
15,2012,1,0,-2,16.497,Expansion,0
15,2013,1,0,-1,14.738,Expansion,0
15,2014,1,1,0,7.537,Expansion,1
15,2015,1,1,1,8.97,Expansion,1
16,2012,1,0,-2,13.145,Expansion,0
16,2013,1,0,-1,13.456,Expansion,0
16,2014,1,1,0,7.419,Expansion,1
16,2015,1,1,1,3.444,Expansion,1
17,2012,1,0,-2,12.918,Expansion,0
17,2013,1,0,-1,11.628,Expansion,0
17,2014,1,1,0,8.624,Expansion,1
17,2015,1,1,1,7.703,Expansion,1
18,2012,1,0,-2,15.51,Expansion,0
18,2013,1,0,-1,13.177,Expansion,0
18,2014,1,1,0,8.697,Expansion,1
18,2015,1,1,1,8.849,Expansion,1
19,2012,1,0,-2,17.204,Expansion,0
19,2013,1,0,-1,13.753,Expansion,0
19,2014,1,1,0,9.594,Expansion,1
19,2015,1,1,1,10.223,Expansion,1
20,2012,1,0,-2,14.507,Expansion,0
20,2013,1,0,-1,10.876,Expansion,0
